DEPT,LITHOLOGY_GEOLINK,CALI,DRHO,NPHI,RHOB,PEF,GR,DTC,DTE,RDEP,SP,RSHA,RXO,RMED
494.08810425,,19.5,-0.600000024,,1.9814074039,28.375,75.698516846,163.36882019,49791160.0,1.806982398,23.181200027,1.5940672159,,1.5940672159
494.24050903,,19.5,-0.582000017,,1.9826134443,32.312999725,77.883407593,162.98240662,49673096.0,1.7960015535,23.308403015,1.6080000401,,1.6080000401
494.39291382,,19.5,-0.582000017,,1.9847261906,23.766000748,79.629508972,162.32218933,49471712.0,1.797005415,24.805606842,1.6080241203,,1.6080241203
494.5453186,,19.468999863,-0.57099998,,1.9888013601,19.125,80.552368164,160.98710632,49072728.0,1.7999873161,24.586589813,1.6130400896,,1.6130400896
494.69772339,,19.468999863,-0.569999993,,1.9890166521,19.547000885,78.408279419,160.98158264,49059948.0,1.7930234671,23.806224823,1.6210451126,,1.6210451126
494.85012817,,19.468999863,-0.577000022,,1.9916001558,24.547000885,72.503128052,160.12528992,48806100.0,1.8059873581,23.930719376,1.6299299002,,1.6299299002
495.00250244,,19.452999115,-0.592000008,,1.9916001558,37.15599823,73.113891602,160.1524353,48806100.0,1.7989903688,23.775600433,1.6158943176,,1.6158943176
495.15490723,,19.452999115,-0.601999998,,1.9915995598,39.375,70.822616577,160.12527466,48806200.0,1.7930320501,24.149599075,1.5939327478,,1.5939327478
495.30731201,,19.452999115,-0.601999998,,1.99147439,46.5,72.811203003,160.16062927,48824552.0,1.8129807711,23.899047852,1.5799711943,,1.5799711943
495.4597168,,19.468999863,-0.596000016,,1.9874813557,39.375,72.428688049,161.41023254,49201732.0,1.8010215759,23.306674957,1.5741057396,,1.5741057396
495.61212158,,19.468999863,-0.606000006,,1.9846179485,40.312999725,70.493431091,162.32524109,49478964.0,1.8130071163,23.677846909,1.5961501598,,1.5961501598
495.76452637,,19.468999863,-0.620000005,,1.9874205589,38.375,69.166725159,161.45741272,49210416.0,1.8169909716,21.934604645,1.6260751486,,1.6260751486
495.91693115,,19.468999863,-0.623000026,,1.9906198978,37.40599823,64.946136475,160.44459534,48905636.0,1.8120000362,23.931224823,1.6409850121,,1.6409850121
496.06930542,,19.468999863,-0.603999972,,1.9937143326,35.5,66.566009521,159.49238586,48604640.0,1.8120160103,24.055450439,1.6379808187,,1.6379808187
496.22171021,,19.468999863,-0.591000021,,1.9959925413,38.562999725,67.214736938,158.75639343,48392464.0,1.8219791651,23.713748932,1.6339614391,,1.6339614391
496.37411499,,19.468999863,-0.593999982,,1.9947999716,36.46900177,72.748497009,159.13922119,48501300.0,1.8090480566,24.181200027,1.6259375811,,1.6259375811
496.52651978,,19.468999863,-0.601000011,,1.9947999716,40.34400177,72.433799744,159.11178589,48501332.0,1.8389891386,24.305999756,1.6130433083,,1.6130433083
496.67892456,,19.452999115,-0.603999972,,1.9947929382,28.858999252,71.558937073,159.14169312,48506744.0,1.8329801559,24.306224823,1.6220550537,,1.6220550537
496.83132935,,19.483999252,-0.600000024,,1.9937096834,31.437999725,70.780662537,159.49394226,48608296.0,1.822014451,24.429647446,1.6330000162,,1.6330000162
496.98373413,,19.5,-0.588999987,,1.9951916933,28.281000137,76.878440857,159.02270508,48468764.0,1.8299802542,23.680774689,1.63288486,,1.63288486
497.1361084,,19.5,-0.595000029,,1.9938875437,38.90599823,77.560295105,159.41340637,48586712.0,1.8190096617,23.556200027,1.6098895073,,1.6098895073
497.28851318,,19.5,-0.600000024,,1.991885066,48.65599823,76.975074768,160.01087952,48779020.0,1.824996829,23.681200027,1.5869472027,,1.5869472027
497.44091797,,19.5,-0.629999995,,1.9894859791,66.875,71.816307068,160.8125,49007572.0,1.8229984045,23.806852341,1.5760624409,,1.5760624409
497.59332275,,19.5,-0.625,,1.9873076677,45.59400177,72.510215759,161.46160889,49219636.0,1.8219982386,24.338392258,1.589091301,,1.589091301
497.74572754,,19.5,-0.612999976,,1.9885128736,48.15599823,74.608108521,161.10231018,49101668.0,1.8209909201,24.557126999,1.6080300808,,1.6080300808
497.89813232,,19.5,-0.605000019,,1.9905102253,27.266000748,71.239051819,160.47975159,48913044.0,1.8159891367,25.179872513,1.613994956,,1.613994956
498.05047607,,19.516000748,-0.603999972,,1.9921041727,32.404968262,69.06300354,160.00463867,48764392.0,1.8100181818,24.554992676,1.6130138636,,1.6130138636
498.20288086,,19.516000748,-0.602999985,,1.9927928448,39.279621124,69.069618225,159.79678345,48697232.0,1.8230125904,23.838479996,1.6159447432,,1.6159447432
498.35528564,,19.516000748,-0.610000014,,1.9916032553,70.306793213,70.488777161,160.09246826,48804268.0,1.8319971561,24.180473328,1.6039999723,,1.6039999723
498.50769043,,19.516000748,-0.620000005,,1.9921042919,62.470573425,68.053504944,160.00422668,48764348.0,1.8300098181,23.807050705,1.6040828228,,1.6040828228
498.66009521,,19.5,-0.617999971,,1.9928005934,37.687999725,66.023605347,159.73539734,48691780.0,1.8370096684,24.555450439,1.6220598221,,1.6220598221
498.8125,,19.5,-0.60799998,,1.9929043055,39.96900177,71.131607056,159.73391724,48688168.0,1.8429871798,24.211997986,1.6350144148,,1.6350144148
498.96487427,,19.5,-0.612999976,,1.9935952425,31.437999725,72.514968872,159.49861145,48619240.0,1.835005641,23.589006424,1.6380138397,,1.6380138397
499.11727905,,19.468999863,-0.640999973,,1.9927994013,27.937999725,75.729850769,159.76756287,48691848.0,1.8389985561,24.305519104,1.6409908533,,1.6409908533
499.26968384,,19.5,-0.646000028,,1.9926885366,24.656000137,71.399177551,159.79858398,48700924.0,1.838008523,23.96330452,1.6389724016,,1.6389724016
499.42208862,,19.5,-0.633000016,,1.9907975197,36.34400177,76.607444763,160.3916626,48884112.0,1.8439971209,24.17889595,1.6329125166,,1.6329125166
499.57449341,,19.5,-0.629999995,,1.9903999567,36.437999725,72.824226379,160.48297119,48920400.0,1.8419775963,22.683002472,1.613953948,,1.613953948
499.72689819,,19.5,-0.633000016,,1.9903999567,52.21900177,75.237983704,160.51029968,48920400.0,1.8280303478,23.931400299,1.6039758921,,1.6039758921
499.87930298,,19.5,-0.638000011,,1.9903999567,36.0,72.772216797,160.51013184,48920392.0,1.8469903469,24.180398941,1.5990400314,,1.5990400314
500.03167725,,19.5,-0.648999989,,1.9904029369,39.34400177,77.181694031,160.48188782,48918548.0,1.8409887552,23.805999756,1.607028842,,1.607028842
500.18408203,,19.5,-0.657000005,,1.9909120798,24.608999252,75.852478027,160.32774353,48873136.0,1.8329957724,23.806306839,1.6131010056,,1.6131010056
500.33648682,,19.5,-0.662,,1.9929120541,28.812999725,71.165176392,159.70437622,48682676.0,1.8299958706,24.025175095,1.6340335608,,1.6340335608
500.4888916,,19.5,-0.653999984,,1.9949018955,29.672000885,66.435897827,159.13867188,48499500.0,1.8270112276,24.150175095,1.6410000324,,1.6410000324
500.64129639,,19.5,-0.657000005,,1.9951975346,32.5,66.015014648,159.02076721,48465032.0,1.8349711895,24.274198532,1.6408998966,,1.6408998966
500.79370117,,19.452999115,-0.647000015,,1.9947949648,19.233999252,68.987487793,159.11325073,48504964.0,1.8170176744,23.775650024,1.6209850311,,1.6209850311
500.94607544,,19.437999725,-0.667999983,,1.9939975739,15.977000237,66.497596741,159.37872314,48579324.0,1.8279929161,24.181526184,1.6177645922,,1.6177645922
501.09848022,,19.437999725,-0.68900001,,1.9935952425,19.297000885,65.995796204,159.53013611,48619256.0,1.8230097294,24.556699753,1.5688990355,,1.5688990355
501.25088501,,19.406000137,-0.617999971,,1.992795229,13.890999794,65.141822815,159.73683167,48695440.0,1.8299944401,25.057050705,1.5478942394,,1.5478942394
501.40328979,,19.437999725,-0.569999993,,1.9920005798,5.4409999847,68.634315491,159.97399902,48767980.0,1.8260097504,25.80437851,1.5258990526,,1.5258990526
501.55569458,,19.656000137,-0.287999988,,1.9921050072,4.109000206,70.576522827,160.00422668,48764328.0,1.8330013752,24.649868011,1.5048942566,,1.5048942566
501.70809937,,19.75,-0.150999993,,1.9929043055,3.5550000668,73.374687195,159.73391724,48688148.0,1.8340047598,24.555999756,1.4828948975,,1.4828948975
501.86050415,,20.297000885,-0.037999999,,1.9936000109,3.5920000076,73.298614502,159.49682617,48615564.0,1.8369054794,24.555549622,1.4618397951,,1.4618397951
502.01287842,,21.75,-0.015,,1.9936000109,3.5959999561,70.442504883,159.46946716,48615228.0,1.7778220177,24.275350571,1.429653883,,1.429653883
502.1652832,,22.797000885,-0.004,,1.9936000109,2.5940001011,71.378303528,159.49699402,48614896.0,1.6508220434,24.525175095,1.3584421873,,1.3584421873
502.31768799,,21.75,0.0099999998,,1.9936000109,1.7029999495,72.074111938,159.49699402,48614560.0,1.5237351656,24.64947319,1.4497597218,,1.4497597218
502.47009277,,23.093999863,0.0049999999,,1.9936000109,1.2740000486,74.365692139,159.49682617,48614224.0,1.3348374367,24.274824142,1.3998029232,,1.3998029232
502.62249756,,23.25,-0.003,,1.9936006069,1.1100000143,72.443321228,159.46946716,48613888.0,1.2192046642,24.149648666,1.3590700626,,1.3590700626
502.77490234,,23.000001907,-0.018999999,,1.9937000275,1.0980000496,73.49155426,159.49682617,48613556.0,1.3651105165,23.900650024,1.3730450869,,1.3730450869
502.92730713,,23.26599884,-0.022,,1.9937000275,1.0920000076,71.812065125,159.46946716,48613220.0,1.4340816736,24.306400299,1.3819549084,,1.3819549084
503.0796814,,23.26599884,-0.017000001,,1.9937000275,1.0900000334,71.615989685,159.49699402,48612884.0,1.4850840569,24.556131363,1.3728750944,,1.3728750944
