DEPT,LITHOLOGY_GEOLINK,CALI,DRHO,SGR,NPHI,RHOB,PEF,GR,DTC,DTE,RDEP,SP,RSHA,RMED
1099.4998779,,17.593999863,,,,2.342294693,,40.340644836,136.70243835,153.22027588,1.8279711008,50.518001556,0.2070000023,1.9639759064
1099.6523438,,17.593999863,,,,2.3405294418,,38.255702972,137.24505615,153.74894714,1.8099639416,50.048801422,0.2359559685,1.9489639997
1099.8046875,,17.593999863,,,,2.3402547836,,40.619041443,137.29472351,153.8302002,1.7949855328,49.798999786,0.1809999943,1.933967948
1099.9570313,,17.593999863,,,,2.3414597511,,36.906200409,136.89376831,153.48240662,1.7859871387,49.673999786,0.2199999988,1.9139744043
1100.1094971,,17.593999863,,,,2.3426508904,,37.031826019,136.69880676,153.13299561,1.7780144215,49.251998901,0.2230000049,1.8979855776
1100.2618408,,17.593999863,,,,2.3435184956,,37.379257202,136.38209534,152.86898804,1.7840112448,49.408000946,0.1620000005,1.8919967413
1100.4143066,,17.593999863,,,,2.3441641331,,40.029273987,136.31204224,152.66369629,1.7910096645,49.798999786,0.1630000025,1.8899831772
1100.5666504,,17.593999863,,,,2.3443772793,,39.318305969,136.21662903,152.61146545,1.7949646711,49.548999786,0.2129999995,1.8830785751
1100.7191162,,17.593999863,,,,2.343085289,,42.618846893,136.55622864,153.00390625,1.7729327679,49.423999786,0.1609999985,1.9321200848
1100.87146,,17.562999725,,,,2.3430864811,,40.06495285,136.572052,152.9942627,1.7447820902,48.783000946,0.2140000015,1.9820384979
1101.0239258,,17.593999863,,,,2.3467576504,,41.273193359,135.53884888,151.91725159,1.6086804867,48.188186646,0.2400015891,2.0059952736
1101.1762695,,17.577999115,,,,2.347877264,,38.031799316,135.235672,151.59657288,1.4758460522,47.173999786,0.2419999987,2.0037786961
1101.3287354,,17.593999863,,,,2.3393082619,,38.530475616,137.54092407,154.15661621,1.37974298,45.577976227,0.1940112114,1.8655148745
1101.4810791,,17.593999863,,,,2.3223371506,,38.310043335,142.27281189,159.3739624,1.2728589773,43.048999786,0.2080000043,1.6636137962
1101.6335449,,17.593999863,,,,2.3028514385,,36.474704742,147.70783997,165.58183289,1.1848222017,41.032001495,0.1720856726,1.4226709604
1101.7858887,,17.593999863,,,,2.2853293419,,38.84765625,152.91007996,171.4039917,1.1108877659,39.783000946,0.2790000141,1.2859470844
1101.9382324,,17.593999863,,,,2.271061182,,41.132003784,157.301651,176.30859375,1.0409039259,39.518001556,0.2389999926,1.2529968023
1102.0906982,,17.593999863,,,,2.260961771,,45.506458282,160.54724121,179.89480591,0.9809343219,39.471000671,0.2509999871,1.251032114
1102.243042,,17.593999863,,,,2.256734848,,49.531200409,161.87365723,181.41448975,0.939966321,40.205001831,0.2360000014,1.2710417509
1102.3955078,,17.593999863,,,,2.259734869,,49.655921936,160.95117188,180.32382202,0.9189760089,41.096000671,0.2080000043,1.2970433235
1102.5478516,,17.593999863,,,,2.2652075291,,49.623348236,159.1628418,178.35733032,0.9089919925,41.251998901,0.1580000073,1.3150336742
1102.7003174,,17.608999252,,,,2.269516468,,48.594078064,157.80020142,176.82443237,0.9040023685,41.643001556,0.2160000056,1.3359855413
1102.8526611,,17.593999863,,,,2.2697813511,,48.623146057,157.71641541,176.73246765,0.9049983621,42.346000671,0.2809999883,1.3299696445
1103.005127,,17.593999863,,,,2.2634899616,,47.468250275,159.79403687,178.99143982,0.9040408134,43.361225128,0.1830552369,1.310915947
1103.1574707,,17.608999252,,,,2.2580657005,,47.15574646,161.50009155,180.93795776,0.9210464954,43.643001556,0.2520000041,1.2758862972
1103.3099365,,17.593999863,,,,2.2610218525,,46.998874664,160.54252625,179.88034058,0.9501177073,44.705825806,0.2410023957,1.2048751116
1103.4622803,,17.593999863,,,,2.2708604336,,46.525089264,157.38812256,176.39361572,0.9991089702,45.736000061,0.2440000027,1.1529375315
1103.6147461,,17.593999863,,,,2.282378912,,42.841373444,153.90126038,172.36769104,1.0671368837,46.330791473,0.2199975997,1.1141344309
1103.7670898,,17.608999252,,,,2.2921154499,,41.750450134,150.90766907,169.04627991,1.1241313219,47.313999176,0.2169999927,1.1701569557
1103.9195557,,17.608999252,,,,2.3007793427,,42.032875061,148.22843933,166.18267822,1.2062522173,47.955589294,0.1540032029,1.2684371471
1104.0718994,,17.577999115,,,,2.3058710098,,42.80809021,146.80688477,164.5085907,1.3111602068,48.688999176,0.1580000073,1.4502228498
1104.2242432,,17.593999863,,,,2.3070321083,,39.749649048,146.47053528,164.13247681,1.4112323523,49.283000946,0.2399999946,1.5891009569
1104.376709,,17.577999115,,,,2.3092656136,,39.532501221,145.89157104,163.41815186,1.5562930107,49.643001556,0.1899999976,1.6521537304
1104.5290527,,17.593999863,,,,2.3136889935,,40.163410187,144.52644348,161.99743652,1.6781409979,50.268001556,0.2360000014,1.7160432339
1104.6815186,,17.593999863,,,,2.3175070286,,44.781074524,143.44200134,160.79760742,1.7661465406,50.393001556,0.2109999955,1.7431249619
1104.8338623,,17.593999863,,,,2.3222434521,,44.812797546,142.2098999,159.31800842,1.8270432949,50.893001556,0.1899999976,1.7950367928
1104.9863281,,17.593999863,,,,2.3262617588,,44.690101624,140.99412537,158.06335449,1.8540264368,51.424274445,0.1820160151,1.818076849
1105.1386719,,17.593999863,,,,2.3281052113,,45.561897278,140.53594971,157.50384521,1.8650096655,51.768001556,0.202000007,1.8500624895
1105.2911377,,17.593999863,,,,2.3299467564,,44.878601074,140.11148071,156.94091797,1.8710097075,52.360401154,0.1540448368,1.8891177177
