DEPT,LITHOLOGY_GEOLINK,CALI,DRHO,NPHI,RHOB,PEF,GR,DTC,DTE,RDEP,SP,RSHA,RMED
176.60998535,,22.09400177,,,1.0,,9.5628814697,207.34309387,206.22460938,1999.9870605,-11.64973354,0.125,0.4399999976
176.76239014,,21.156000137,,,1.0,,9.5310001373,207.34309387,206.22460938,1999.9949951,-2.402108431,0.1230000034,0.4810000062
176.91477966,,21.108999252,,,1.0,,9.5395612717,207.34367371,206.22460938,2000.0040283,6.1713414192,0.1230000034,0.4560000002
177.06718445,,21.125,,,1.0,,11.908459663,207.34841919,206.22460938,2000.0118408,5.1399679184,0.126000002,0.52700001
177.21958923,,20.108999252,,,1.0,,12.571248055,207.34309387,206.22460938,1999.8681641,-0.24997136,0.4329999983,0.8220000267
177.37197876,,21.937997818,,,1.0,,12.887841225,207.34367371,206.22460938,1963.0837402,-1.000099063,0.7210000157,1.2799999714
177.52438354,,22.125,,,1.0,,10.149581909,207.34986877,206.22460938,16.984420776,6.5214290619,0.1340000033,1.3380000591
177.67678833,,20.797000885,,,1.0,,8.4716444016,207.35655212,206.22460938,1951.5073242,11.366498947,0.1230000034,1.0230000019
177.82917786,,20.59400177,,,1.0,,9.1615400314,207.34367371,206.22460938,2000.0158691,16.493362427,0.1230000034,0.8690000176
177.98158264,,20.547000885,,,1.0,,8.4961652756,207.34841919,206.22460938,1999.9849854,22.214698792,0.1230000034,0.6850000024
178.13398743,,20.547000885,,,1.0,,7.4841971397,207.34309387,206.22460938,1999.9949951,16.116863251,0.1230000034,0.47299999
178.28639221,,20.562999725,,,1.0,,5.444835186,207.34367371,206.22460938,2000.0030518,17.133588791,0.1230000034,0.3549999893
178.43878174,,20.547000885,,,1.0,,6.4567728043,207.34841919,206.22460938,2000.0108643,18.565135956,0.1230000034,0.1930000037
178.59118652,,20.547000885,,,1.0,,8.4972305298,207.34309387,206.22460938,1999.9799805,10.179199219,0.1230000034,0.1309999973
178.74359131,,20.562999725,,,1.0,,9.8670301437,207.34367371,206.22460938,1999.9890137,-1.077459335,0.1289999932,0.1270000041
178.89598083,,20.702999115,,,1.0,,9.8698759079,207.34841919,206.22460938,1999.9980469,-14.07060528,0.3179999888,0.1379999965
179.04838562,,22.406000137,,,1.0,,8.4933080673,207.34309387,206.22460938,2000.0050049,-25.45333481,1.0670000315,0.2150000036
179.20079041,,23.156000137,,,1.0,,8.8359127045,207.34454346,206.22460938,1993.4382324,-5.913462639,1.2230000496,0.4280000031
179.35319519,,23.343999863,,,1.0,,8.8182010651,207.35713196,206.22460938,277.93835449,-8.657162666,1.182000041,0.3409999907
179.50558472,,23.391000748,,,1.0,,10.18383503,207.34841919,206.22460938,1999.993042,-9.732732773,1.25,0.2790000141
179.6579895,,23.375001907,,,1.0,,11.181665421,207.34309387,206.22460938,2000.0019531,-6.065482616,1.1829999685,0.3120000064
179.81039429,,23.468999863,,,1.0,,9.5295095444,207.34367371,206.22460938,1992.8157959,-24.00995827,1.5820000172,0.248999998
179.96278381,,23.516000748,,,1.0030851364,,11.232785225,207.24290466,206.11868286,108.9544754,-27.39362335,0.4189999998,0.3160000145
180.1151886,,23.047000885,,,1.1063355207,,10.9215765,203.69207764,202.56993103,13.129125595,-24.85725784,1.0870000124,0.3000000119
180.26759338,,24.078001022,,,1.7999999523,,15.000061035,179.83680725,178.71861267,26.185483932,-21.02838707,0.4790000021,0.2709999979
180.41998291,,24.062999725,,,1.7999999523,,15.014696121,179.83929443,178.71861267,8.2594261169,-29.26563835,0.3650000095,0.1589999944
180.5723877,,24.062999725,,,1.7999999523,,14.658799171,179.83650208,178.71861267,12.117664337,-34.29369354,0.4580000043,0.1280000061
180.72479248,,24.078001022,,,1.7999999523,,13.291528702,179.83680725,178.71861267,6.5215497017,-38.40490341,0.3899999857,0.1299999952
180.87719727,,24.078001022,,,1.7999999523,,11.862926483,179.84072876,178.71861267,4.0434617996,-38.90680313,0.3959999979,0.1280000061
181.02958679,,24.078001022,,,1.7999999523,,12.888365746,179.84986877,178.71861267,3.1171224117,-39.9053154,0.3709999919,0.1280000061
181.18199158,,24.078001022,,,1.7999999523,,12.1854105,179.83680725,178.71861267,3.1766662598,-40.51729584,0.3779999912,0.1309999973
181.33439636,,24.062999725,,,1.7999999523,,13.5968256,179.83929443,178.71861267,10.162325859,-37.7142868,0.3589999974,0.1360000074
181.48678589,,24.078001022,,,1.7999999523,,12.244604111,179.83650208,178.71861267,11.028172493,-37.49998093,0.3529999852,0.1800000072
181.63919067,,24.062999725,,,1.7999999523,,12.937273026,179.83680725,178.71861267,9.733001709,-30.01184654,0.3540000021,0.200000003
181.79159546,,24.062999725,,,1.7999999523,,10.916525841,179.83929443,178.71861267,10.530604362,-42.29179001,0.3440000117,0.2039999962
181.94400024,,24.078001022,,,1.7999999523,,11.57410717,179.83650208,178.71861267,13.576739311,-45.88849258,0.3560000062,0.2160000056
182.09638977,,24.078001022,,,1.7999999523,,10.558773994,179.83650208,178.71861267,15.606819153,-42.10070419,0.3560000062,0.2259999961
182.24879456,,24.078001022,,,1.7999999523,,11.547030449,179.83680725,178.71861267,16.606702805,-44.90490341,0.3580000103,0.2090000063
182.40119934,,24.078001022,,,1.7999999523,,11.557704926,179.84072876,178.71861267,16.527599335,-45.38896942,0.34799999,0.2080000043
182.55358887,,24.078001022,,,1.7999999523,,12.267126083,179.84986877,178.71861267,16.158266068,-41.70805359,0.3370000124,0.2060000002
182.70599365,,24.062999725,,,1.7999999523,,12.567385674,179.83680725,178.71861267,15.429384232,-39.85141373,0.3350000083,0.202000007
182.85839844,,24.062999725,,,1.7999999523,,11.882703781,179.83929443,178.71861267,17.10749054,-42.85617065,0.3319999874,0.2029999942
183.01078796,,24.078001022,,,1.7999999523,,11.803840637,179.83650208,178.71861267,18.80591774,-47.07541275,0.3269999921,0.2060000002
183.16317749,,24.078001022,,,1.7999999523,,11.497207642,179.83680725,178.71861267,18.502401352,-43.16735458,0.3230000138,0.2080000043
183.31558228,,24.078001022,,,1.7999999523,,12.902022362,179.83929443,178.71861267,15.120038986,-47.0356369,0.3190000057,0.2099999934
183.4679718,,24.078001022,,,1.7999999523,,13.987745285,179.83650208,178.71861267,16.697528839,-49.09653473,0.2899999917,0.2199999988
183.62037659,,24.078001022,,,1.7999999523,,15.021734238,179.83680725,178.71861267,3.8490643501,-50.90209961,0.3350000083,0.2189999968
183.77278137,,24.078001022,,,1.7999999523,,14.666876793,179.83929443,178.71861267,3.3150148392,-50.66642761,0.3529999852,0.2960000038
183.9251709,,24.078001022,,,1.7999999523,,13.290350914,179.83650208,178.71861267,3.5890274048,-54.28092575,0.3449999988,0.3000000119
184.07757568,,24.078001022,,,1.7999999523,,13.665293694,179.83824158,178.71861267,3.8748273849,-55.10194397,0.3120000064,0.2949999869
184.22998047,,24.062999725,,,1.7999999523,,14.031653404,179.85275269,178.71861267,4.3800854683,-58.39489365,0.3079999983,0.2899999917
184.38238525,,24.078001022,,,1.7999999523,,16.36125946,179.83650208,178.71861267,4.4036331177,-56.22866058,0.3089999855,0.2879999876
184.53477478,,24.078001022,,,1.7999999523,,16.970182419,179.83650208,178.71861267,4.5737080574,-59.88948059,0.3210000098,0.2840000093
184.68717957,,24.078001022,,,1.7999999523,,17.303424835,179.83680725,178.71861267,4.4922552109,-56.15647125,0.3289999962,0.2829999924
184.83958435,,24.078001022,,,1.7999999523,,19.027240753,179.83929443,178.71861267,4.291410923,-57.10250092,0.3389999866,0.2820000052
184.99197388,,24.078001022,,,1.7999999523,,18.012338638,179.83650208,178.71861267,4.1332702637,-60.46815491,0.3459999859,0.2860000134
185.14437866,,24.062999725,,,1.7999999523,,16.981584549,179.83680725,178.71861267,4.2045145035,-61.33662415,0.3089999855,0.2899999917
185.29678345,,24.078001022,,,1.7999999523,,11.89481926,179.83929443,178.71861267,3.2409257889,-60.4025383,0.3129999936,0.2919999957
185.44918823,,24.078001022,,,1.7999999523,,12.927034378,179.83650208,178.71861267,3.2293016911,-60.28424835,0.3490000069,0.3030000031
185.60157776,,24.078001022,,,1.7999999523,,14.28843689,179.83680725,178.71861267,5.4585680962,-61.95869064,0.3589999974,0.3070000112
185.75398254,,24.078001022,,,1.7999999523,,16.336591721,179.84072876,178.71861267,4.5050215721,-60.18767929,0.3529999852,0.2969999909
185.90638733,,24.078001022,,,1.7999999523,,14.344981194,179.84986877,178.71861267,3.1649737358,-52.78396988,0.3389999866,0.3039999902
186.05877686,,24.078001022,,,1.7999999523,,14.605255127,179.83680725,178.71861267,2.8888196945,-37.72063446,0.3280000091,0.3120000064
186.21118164,,24.093999863,,,1.7999999523,,13.578420639,179.83929443,178.71861267,2.838026762,-39.2714653,0.3330000043,0.3199999928
186.36358643,,24.078001022,,,1.7999999523,,15.901169777,179.83650208,178.71861267,2.5677626133,-37.51292801,0.3389999866,0.3210000098
186.51599121,,24.078001022,,,1.7999999523,,14.599452019,179.83680725,178.71861267,2.2336218357,-50.42684555,0.2599999905,0.3179999888
186.66838074,,24.078001022,,,1.7999999523,,13.912705421,179.83929443,178.71861267,1.8626323938,-56.83526993,0.2870000005,0.3190000057
186.82078552,,24.078001022,,,1.7999999523,,13.555174828,179.83650208,178.71861267,1.7598183155,-55.5328598,0.2840000093,0.3289999962
186.97319031,,24.078001022,,,1.7999999523,,13.602000237,179.83650208,178.71861267,1.4403663874,-56.83977127,0.27700001,0.3359999955
187.12557983,,24.078001022,,,1.7999999523,,13.597325325,179.83680725,178.71861267,1.0012956858,-56.77799988,0.2560000122,0.3529999852
187.27798462,,24.078001022,,,1.7999999523,,12.303551674,179.83929443,178.71861267,1.0829925537,-56.78610229,0.2520000041,0.3930000067
187.4303894,,24.078001022,,,1.7999999523,,11.920278549,179.8379364,178.71861267,1.0807739496,-58.95828629,0.2630000114,0.3889999986
187.58277893,,24.078001022,,,1.7999999523,,13.610268593,179.85017395,178.71861267,1.0196611881,-57.16516876,0.2579999864,0.40200001
187.73518372,,24.078001022,,,1.7999999523,,13.964605331,179.83929443,178.71861267,0.9258990884,-60.52300262,0.2599999905,0.4210000038
187.8875885,,24.062999725,,,1.7999999523,,14.963545799,179.83650208,178.71861267,0.8979963064,-59.2066803,0.2569999993,0.4350000024
188.03999329,,24.062999725,,,1.7999999523,,15.642649651,179.83680725,178.71861267,0.8969657421,-57.02942657,0.2399999946,0.4480000138
188.19238281,,24.078001022,,,1.7999999523,,14.23932457,179.83929443,178.71861267,0.8879201412,-57.4091835,0.2450000048,0.4560000002
188.3447876,,24.078001022,,,1.7999999523,,13.536561012,179.83650208,178.71861267,0.8669314981,-59.02728271,0.2240000069,0.4639999866
188.49719238,,24.078001022,,,1.7999999523,,12.900826454,179.83680725,178.71861267,0.8490228057,-58.84119034,0.2240000069,0.4799999893
188.64958191,,24.078001022,,,1.7999999523,,13.642389297,179.83929443,178.71861267,0.8547888398,-59.1525383,0.2360000014,0.4950000048
188.80198669,,24.062999725,,,1.7999999523,,14.014630318,179.83650208,178.71861267,0.7980646491,-58.99779892,0.2129999995,0.5199999809
188.95439148,,24.062999725,,,1.7999999523,,13.651959419,179.83680725,178.71861267,0.815060854,-51.03982925,0.2169999927,0.5809999704
189.10679626,,24.078001022,,,1.7999999523,,12.596674919,179.84072876,178.71861267,0.8309847713,-37.89942932,0.2210000008,0.5780000091
189.25918579,,24.078001022,,,1.7999999523,,13.297060966,179.84986877,178.71861267,0.8270304799,-36.97356033,0.2029999942,0.5879999995
189.41159058,,24.062999725,,,1.7999999523,,13.306577682,179.83650208,178.71861267,0.8350341916,-39.21524048,0.2080000043,0.5910000205
189.56399536,,24.078001022,,,1.7999999523,,11.617155075,179.83680725,178.71861267,0.8440189958,-39.28037643,0.2319999933,0.6090000272
189.71638489,,24.078001022,,,1.7999999523,,9.5690202713,179.83929443,178.71861267,0.8489888906,-39.93981552,0.2140000015,0.6169999838
189.86878967,,24.062999725,,,1.7999999523,,11.202145576,179.83650208,178.71861267,0.8460570574,-49.87138748,0.2290000021,0.6399999857
190.02119446,,24.078001022,,,1.7999999523,,14.912361145,179.83680725,178.71861267,0.8609048724,-58.08881378,0.2349999994,0.6600000262
190.17358398,,24.062999725,,,1.7999999523,,16.571922302,179.83929443,178.71861267,0.8359481692,-57.76711655,0.2039999962,0.6719999909
190.32598877,,24.078001022,,,1.7999999523,,14.932855606,179.83650208,178.71861267,0.8220152259,-54.81645966,0.2080000043,0.6740000248
190.47839355,,24.078001022,,,1.7999999523,,13.578391075,179.83680725,178.71861267,0.8259961605,-48.67986679,0.2169999927,0.6809999943
190.63079834,,24.078001022,,,1.7999999523,,11.588706017,179.83929443,178.71861267,0.8250304461,-55.7202301,0.1920000017,0.6669999957
190.78318787,,24.062999725,,,1.7999999523,,12.294504166,179.8379364,178.71861267,0.8330723047,-57.09024048,0.1909999996,0.6669999957
190.93559265,,24.078001022,,,1.7999999523,,11.644830704,179.85017395,178.71861267,0.8520570397,-57.14538956,0.2240000069,0.6669999957
191.08799744,,24.078001022,,,1.7999999523,,12.64922142,179.83929443,178.71861267,0.8671597838,-55.15727997,0.2129999995,0.7120000124
191.24038696,,24.078001022,,,1.7999999523,,12.971489906,179.83650208,178.71861267,0.9091148376,-56.28540802,0.2090000063,0.7300000191
191.39279175,,24.078001022,,,1.7999999523,,13.634490013,179.83680725,178.71861267,0.9394559264,-58.26729584,0.2399999946,0.753000021
191.54519653,,24.078001022,,,1.7999999523,,11.926165581,179.83929443,178.71861267,0.7965434194,-55.46381378,0.2319999933,0.7570000291
191.69760132,,24.078001022,,,1.7999999523,,10.916707039,179.83650208,178.71861267,0.6770913005,-55.07951355,0.2360000014,0.8080000281
191.84999084,,24.062999725,,,1.7999999523,,9.5450620651,179.83680725,178.71861267,0.7009238601,-35.85213089,0.2660000026,0.8389999866
192.00239563,,24.078001022,,,1.7999999523,,13.220459938,179.83929443,178.71861267,0.6816429496,-39.01991653,0.273999989,0.7139999866
192.15480042,,24.078001022,,,1.7999999523,,11.515936852,179.83650208,178.71861267,0.8505554795,-36.83677673,0.2649999857,0.6499999762
192.30718994,,24.062999725,,,1.7999999523,,13.582826614,179.8379364,178.71861267,0.9956665635,-19.4584446,0.2779999971,0.6480000019
192.45959473,,24.078001022,,,1.7999999523,,10.581895828,179.85017395,178.71861267,0.906357646,-9.083939552,0.2360000014,0.6129999757
192.61199951,,24.078001022,,,1.7999999523,,11.60057354,179.83929443,178.71861267,1.0001065731,-7.551215172,0.1529999971,0.52700001
192.76438904,,24.078001022,,,1.7999999523,,11.238285065,179.83650208,178.71861267,1.0275517702,-21.77142525,0.1480000019,0.4329999983
192.91677856,,24.078001022,,,1.7999999523,,14.278067589,179.83680725,178.71861267,0.907266736,-28.3881588,0.1350000054,0.4629999995
193.06918335,,24.062999725,,,1.7999999523,,15.641143799,179.83929443,178.71861267,0.9782442451,-41.34208679,0.298999995,0.6970000267
193.22157288,,24.078001022,,,1.7999999523,,15.672675133,179.83650208,178.71861267,0.7742537856,-41.89173508,0.4819999933,1.0360000134
