DEPT,LITHOLOGY_GEOLINK,CALI,DRHO,NPHI,RHOB,PEF,GR,DTC,DTS,RDEP,SP,RSHA,RMED
1050.3748779,,16.0,-6.043000221,,,,47.081001282,56.800003052,,1.3650000095,-14.80000019,,0.200000003
1050.4998779,,16.0,-6.043000221,,,,46.86000061,56.800003052,,1.3730000257,-14.80000019,,0.200000003
1050.6248779,,16.0,-6.043000221,,,,46.803001404,56.800003052,,1.3839999437,-14.80000019,,0.200000003
1050.7501221,,16.0,-6.043000221,,,,46.486999512,56.800003052,,1.3949999809,-14.80000019,,0.200000003
1050.8751221,,16.0,-6.043000221,,,,46.039001465,56.800003052,,1.4060000181,-14.80000019,,0.200000003
1051.0001221,,16.0,-6.043000221,,,,45.714000702,56.800003052,,1.4170000553,-14.80000019,,0.200000003
1051.125,,16.0,-6.043000221,,,,45.459999084,56.800003052,,1.4270000458,-14.80000019,,0.200000003
1051.25,,16.0,-6.043000221,,,,45.229000092,56.800003052,,1.4309999943,-14.80000019,,0.200000003
1051.375,,16.0,-6.043000221,,,,44.998001099,56.800003052,,1.4210000038,-14.80000019,,0.200000003
1051.5,,16.0,-6.043000221,,,,44.76599884,56.800003052,,1.378000021,-14.80000019,,0.200000003
1051.6248779,,16.0,-6.043000221,,,,46.041000366,56.800003052,,1.3519999981,-14.80000019,,0.200000003
1051.7498779,,16.0,-6.043000221,,,,47.604000092,56.800003052,,1.3489999771,-14.80000019,,0.200000003
1051.8748779,,16.0,-6.043000221,,,,48.98500061,56.800003052,,1.3580000401,-14.80000019,,0.200000003
1052.0001221,,16.0,-5.995999813,,,,50.041999817,56.800003052,,1.3669999838,-14.80000019,,0.200000003
1052.1251221,,16.004999161,-5.546999931,,,,50.956001282,56.800003052,,1.375,-14.80000019,,0.200000003
1052.2501221,,16.035999298,-4.181000233,,1.6000000238,118.38400269,50.395999908,56.800003052,,1.3669999838,-14.80000019,,0.200000003
1052.375,,16.138000488,-2.252000093,,2.6050000191,94.783996582,49.902999878,56.800003052,,1.3489999771,-14.80000019,,0.200000003
1052.5,,16.395999908,-1.659000039,,2.7290000916,50.310001373,49.680000305,56.800003052,,1.3370000124,-14.80000019,,0.200000003
1052.625,,16.827999115,-1.401000023,,2.3659999371,30.089000702,49.657001495,56.800003052,,1.3350000381,-14.80000019,,0.200000003
1052.75,,17.320999146,-1.23300004,,2.0399999619,24.701000214,49.63999939,56.800003052,,1.3370000124,-14.80000019,,0.200000003
1052.8748779,,17.773000717,-1.133000016,,1.7949999571,24.767999649,49.63999939,56.800003052,,1.3259999752,-14.80000019,,0.200000003
1052.9998779,,18.099000931,-1.095999956,,1.621999979,24.930999756,49.34400177,56.800003052,,1.3099999428,-14.80000019,,0.200000003
1053.1251221,,18.256000519,-1.103999972,,1.503000021,24.785999298,48.611999512,56.800003052,,1.2840000391,-14.80000019,,0.200000003
1053.2501221,,18.294000626,-1.125,,1.442999959,22.959999084,47.902000427,56.800003052,,1.2510000467,-14.80000019,,0.200000003
1053.3751221,,18.299999237,-1.133000016,,1.4270000458,21.934000015,47.585998535,56.800003052,,1.2239999771,-14.80000019,,0.200000003
